lead,model_name,val_smape
1,hgb,0.3494266234463082
2,hgb,0.3875462849314863
3,ridge,0.41051911022656257
4,hgb,0.432693179537755
5,ridge,0.3958492164031543
6,ridge,0.4019710157801407
7,ridge,0.37741548836167643
8,hgb,0.38811869485870953
9,ridge,0.38423707715554206
10,hgb,0.4088764911225882
11,hgb,0.40263480324703954
12,hgb,0.40058335658533534
13,hgb,0.41150024638995086
14,hgb,0.44358031498378725
15,hgb,0.4467845063599012
16,ridge,0.4621458531338754
17,ridge,0.4552656920357684
18,hgb,0.4564373423508586
19,ridge,0.4495832814176948
20,hgb,0.45529638942910344
21,hgb,0.419449450251591
22,hgb,0.3846281922273441
23,hgb,0.4296047983007412
24,hgb,0.42427938772442503
25,hgb,0.3708674057385439
26,hgb,0.4503583598147741
27,hgb,0.3957940728793253
28,hgb,0.39334584022630653
29,hgb,0.41509724755694016
30,hgb,0.3919173105334441
31,hgb,0.38082156163797337
32,hgb,0.3892403735516486
33,hgb,0.37547542374920484
34,hgb,0.39610874074743646
35,hgb,0.3845080476471674
36,ridge,0.4019807865519535
37,ridge,0.4021468205717694
38,ridge,0.3979865017342782
39,hgb,0.39520142328716334
40,ridge,0.40739439342996997
41,ridge,0.3912095947490006
42,hgb,0.3769115563444985
43,hgb,0.3424431559549371
44,ridge,0.37260893432161835
